Theme,Mentions,Main Pain Point,Suggested Feature,Priority
Customer Support,7,Difficult to resolve complaints and reach human assistance,Human agent escalation and clearer complaint tracking,High
Delivery,5,Delayed or inaccurate delivery estimates,Improved real-time tracking and ETA accuracy,High
Pricing,5,High food prices and additional platform or packaging fees,Transparent fee breakdown and pricing controls,High
Order Accuracy / Missing Items,3,Wrong incomplete or missing items,Order verification and easier missing-item reporting,High
Cancellation / Refund,3,Problems with cancellation and refunds,Clear cancellation policy and automated refund tracking,High
Food Quality,2,Inconsistent food quality and temperature,Restaurant quality monitoring and feedback alerts,Medium
Product Information,1,Inaccurate portion or item information,Standardized quantity and menu information,Medium
Payment Options,1,Lack of preferred payment methods such as COD,Expanded payment options,Medium
Product Expansion / Membership,1,Requests for integrated services and unified membership,Unified membership and additional everyday services,Low
Usability / Restaurant Discovery,1,Positive feedback on easy discovery and app usability,Continue improving restaurant discovery and usability,Low
